	Country	City	Latitude	Longitude	Temperature (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)
0	it	paullo	45.416667	9.4	51.8	66	0	11.41
1	at	poysdorf	48.666667	16.633333	50	76	0	12.75
2	in	jhajjar	28.616667	76.65	71.6	53	0	3.36
3	de	kamenz	51.266667	14.1	48.2	100	90	4.7
4	in	malihabad	26.916666999999997	80.716667	71.6	83	0	4.38
5	co	el aguila	4.91345	-76.040042	69.8	88	40	6.93
6	br	lins	-21.666667	-49.75	69.68	72	12	15.23
7	na	oshakati	-17.783333300000002	15.683333300000001	75.2	50	80	3.36
8	ro	vad	47.2	23.75	51.8	87	75	8.05
9	jp	isahaya	32.841111	130.043056	68	49	20	11.41
10	af	asmar	35.033328000000004	71.358087	51.95	52	0	3.04
11	ge	jvari	42.71388889999999	42.053611100000005	60.8	59	0	26.4
12	mx	jaltepec	19.733333	-98.633333	62.6	63	40	12.75
13	de	forchheim	49.723056	11.066944	50	93	75	6.93
14	sv	santa rosa de lima	13.624722199999997	-87.89361109999999	69.73	96	80	2.04
15	in	ghosi	26.108333	83.543611	80.84	34	0	4.05
16	ph	santo tomas	8.185833	125.80388899999998	86.11	88	56	4.72
17	ru	sokol	59.461667000000006	40.120556	29.45	92	88	6.62
18	pt	alcanena	39.459005	-8.668924	53.6	87	0	3.36
19	hu	nyirbogat	47.803395	22.065606	48.2	93	100	12.75
20	id	boyolangu	-8.1181	111.8935	76.61	100	44	3.71
21	it	monte san pietro	44.433333000000005	11.133333	44.6	65	0	3.36
22	no	kristiansand	58.166667000000004	8.0	48.2	93	92	9.17
23	cn	yangjiang	21.85	111.96666699999999	74.99	100	0	17.47
24	pf	teavaro	-17.5	-149.7666667	82.4	69	40	5.82
25	ru	mtsensk	53.27656700000001	36.573337	24.05	85	32	5.95
26	de	gehrden	52.316666999999995	9.6	50	93	75	2.24
27	ru	krasnozavodsk	56.45	38.216667	20.18	100	64	2.93
28	br	parintins	-2.6	-56.733332999999995	83.86	64	0	5.17
29	br	piraju	-23.2	-49.383333	58.7	93	8	15.79
30	am	musaler	40.154444399999996	44.3777778	35.6	80	0	2.48
31	pt	lavos	40.093628	-8.828263	53.6	87	0	3.36
32	gt	retalhuleu	14.533332999999999	-91.68333299999999	76.79	100	24	1.36
33	mk	demir kapija	41.405	22.2488889	41.06	97	100	5.95
34	cn	huaihua	27.549444	109.959167	64.82	86	20	3.6
35	id	ambarawa	-7.263333	110.3975	86.33	65	20	3.04
36	kz	borovskoy	53.8	64.15	27.02	84	88	20.49
37	es	llanera	43.433333000000005	-5.883333	50	81	24	3.36
38	ru	mayskiy	50.519881	36.458777000000005	33.8	86	0	6.71
39	mx	chiautla	19.533333	-98.883333	62.6	63	40	12.75
40	ph	sibulao	7.324545	122.241799	87.8	74	75	6.93
41	in	vasai	19.35	72.8	86	61	0	6.62
42	es	rubi	41.492256	2.0330470000000003	57.2	93	0	3.36
43	ro	schitu	44.35	24.566667000000002	50	100	90	5.82
44	us	tehachapi	35.1322222	-118.44805559999999	75.2	22	1	6.93
45	ph	cawayan	13.3672	122.5094	84.08	100	12	16.8
46	pk	gambat	27.351453000000003	68.52051	69.8	64	0	4.7
47	ro	garoafa	45.783333	27.2	51.73	100	92	7.18
48	ca	ville-marie	47.333333	-79.43333299999999	57.2	100	90	16.11
49	ch	plan-les-ouates	46.167615000000005	6.119125	41	100	0	2.24
50	ua	petropavlivka	48.456429	36.436699	32.11	93	56	11.77
51	ee	kolga	59.4866667	25.619166699999997	28.4	92	75	3.36
52	ru	baryshevo	54.9564	83.1822	26.6	92	0	4.47
53	ca	wembley	55.15	-119.15	46.4	49	75	11.41
54	ro	alexandria	43.983333	25.333333	57.8	98	92	13.11
55	us	findlay	41.0441667	-83.65	55.4	81	90	14.99
56	si	portoroz	45.5161111	13.588333300000002	50	87	0	9.17
57	sk	trencianske teplice	48.9166667	18.1666667	48.2	76	44	13.87
58	ro	izvoarele	44.033889	25.774722	57.2	100	75	14.99
59	ru	volodarsk	56.231051	43.187671	28.4	92	75	2.24
60	fr	enghien-les-bains	48.966667	2.316667	57.2	93	90	4.7
61	us	bay shore	40.725	-73.2458333	71.6	83	90	16.11
62	mx	actopan	20.266667	-98.93333299999999	53.08	98	64	2.37
63	it	fossombrone	43.683333000000005	12.8	50	138	0	6.93
64	ph	libertad	8.2755	123.8382	82.28	92	68	3.04
65	us	putnam	41.915	-71.9094444	66.2	93	90	3.36
66	ru	novoaltaysk	53.3917	83.9363	32	88	0	6.71
67	pe	olmos	-5.9847222	-79.7452778	69.68	88	68	2.93
68	ph	arteche	12.2645	125.4048	83.59	94	64	10.98
69	mx	arandas	20.7	-102.35	67.21	41	0	12.21
70	gr	diavatos	40.54555560000001	22.2669444	55.4	62	40	12.75
71	ua	balky	47.383365000000005	34.94396	39.2	80	75	11.18
72	gb	kintore	57.216667	-2.35	48.2	93	0	8.05
73	es	arrecife	28.965706	-13.551378	71.6	88	88	8.05
74	ru	sengiley	53.962222	48.794444	32	100	75	6.71
75	fr	tournefeuille	43.583905	1.34685	50	87	0	3.36
76	ru	samarskoye	46.937	39.6881	35.6	95	20	15.66
77	uy	artigas	-30.4	-56.466666700000005	53.57	70	20	11.21
78	gt	champerico	14.3	-91.916667	76.79	100	24	1.36
79	mx	miramar	22.266667	-97.8	78.8	83	40	11.41
80	hr	krk	45.025833299999995	14.573055599999998	57.2	41	0	8.05
81	ro	bolvasnita	45.35	22.3	47.41	99	92	2.93
82	ph	laguindingan	8.574722	124.442222	82.28	100	64	3.15
83	de	olpe	51.033333	7.85	53.6	87	75	8.05
84	gr	elatia	38.6333333	22.7666667	53.6	76	20	3.36
85	in	shahganj	26.05	82.68333299999999	79.85	61	0	4.38
86	pe	san jeronimo de tunan	-11.95	-75.25	40.84	93	92	1.7
87	in	harihar	14.516667000000002	75.8	74.09	81	32	3.71
88	be	oreye	50.733333	5.366667	55.4	93	75	11.41
89	gr	mikonos	37.45	25.3333333	68	77	75	8.05
90	hu	csanadapaca	46.55	20.883333	50	93	92	16.11
91	be	hasselt	50.933333000000005	5.3333330000000005	57.2	100	90	12.75
92	ru	anadyr	64.75	177.48333300000002	15.8	85	0	8.95
93	us	sanford	28.8002778	-81.2733333	75.2	100	90	4.7
94	br	arroio dos ratos	-30.083333000000003	-51.716667	59	77	0	9.17
95	hn	san francisco del valle	14.433333300000001	-88.95	66.04	97	88	2.15
96	ro	catina	46.85	24.183332999999998	51.8	87	75	8.05
97	hn	nueva florida	15.4666667	-87.5	77	100	75	10.29
98	hn	san juan de opoa	14.7833333	-88.7	66.62	99	92	1.92
99	ec	palestina	-1.9333333	-79.7333333	75.2	73	0	16.11
100	br	lencois paulista	-22.6	-48.783333	62.6	93	0	14.99
101	tr	yakuplu	40.983333	28.65	68	56	0	5.82
102	ro	barbatesti	44.866667	23.5	50	100	90	5.82
103	ru	komarichi	52.4151	34.7905	26.75	86	92	9.64
104	mx	tequila	20.883333	-103.833333	66.2	55	5	1.59
105	ro	socol	44.860833	21.370278	48.2	100	75	11.41
106	th	khlong luang	14.064667000000002	100.645778	86	74	40	11.41
107	in	ukwa	21.966667	80.466667	77.24	53	0	3.94
108	de	schiffweiler	49.366667	7.133333	51.8	93	75	9.17
109	gr	alexandroupoli	40.8475	25.874444399999998	60.8	100	90	8.05
110	jo	aydun	32.507222	35.8575	59	82	20	4.7
111	pk	shahdadkot	27.847709000000002	67.905497	74.72	33	0	9.53
112	pk	peshawar	34.008	71.57848800000001	64.4	63	20	4.7
113	us	comerio	18.22	-66.2263889	80.6	83	40	5.82
114	mx	vicente guerrero	23.75	-103.983333	64.4	45	5	4.7
115	ph	alangilanan	9.642000000000001	123.1059	84.2	79	90	3.6
116	it	lanciano	42.233333	14.383332999999999	60.8	48	92	9.17
117	az	buzovna	40.517888	50.113901	55.4	87	75	4.7
118	de	schenefeld	53.6	9.816667	51.8	93	75	3.36
119	gr	kamena vourla	38.783333299999995	22.783333300000002	53.6	76	20	3.36
120	cn	huaiyin	33.588611	119.019167	61.76	76	0	7.4
121	br	guarapuava	-25.383333	-51.45	58.61	94	32	4.94
122	ir	mehran	33.1222	46.1646	50	29	0	4.7
123	br	sao francisco	-15.95	-44.866667	83.45	30	44	15.57
124	de	drensteinfurt	51.8	7.75	51.8	93	75	3.36
125	ca	yamachiche	46.283333	-72.833333	56.59	80	68	9.75
126	ru	peski	51.2531	42.4693	24.41	77	44	3.15
127	ru	novomikhaylovskiy	44.2626	38.8585	41.38	97	56	1.92
128	sv	conchagua	13.307777800000002	-87.8647222	75.35	100	92	4.38
129	gt	san antonio palopo	14.7	-91.116667	68	88	75	4.7
130	gr	andros	37.8333333	24.9333333	68	64	40	19.46
131	fr	brest	48.390756	-4.486165	59	93	90	16.11
132	it	cagliari	39.216667	9.116667	60.8	87	0	5.82
133	be	waregem	50.883333	3.416667	57.2	93	75	10.29
134	us	elwood	40.2769444	-85.8419444	50	93	90	9.17
135	br	breves	-1.666667	-50.483333	80.39	82	48	7.52
136	ph	tapel	18.289070000000002	122.02915300000001	78.77	86	80	6.06
137	mx	tenancingo	19.147222	-98.18055600000001	57.2	76	40	9.17
138	ro	bania	44.895833	22.044722	48.2	100	75	11.41
139	ir	rasht	37.280769	49.58319	53.6	100	8	2.71
140	es	soller	39.768206	2.716361	51.8	100	20	2.24
141	ph	damilag	8.354722	124.81222199999999	75.71	100	80	0.69
142	ch	rheinfelden	47.562979	7.780108	48.2	93	75	3.36
143	it	ottaviano	40.85	14.466667000000001	59	54	40	13.87
144	in	madhogarh	26.276	79.1869	77.87	36	0	4.38
145	in	shahada	21.466667	74.3	75.98	51	0	4.94
146	pa	chilibre	9.15	-79.6166667	78.8	94	75	3.36
147	br	alem paraiba	-21.866667	-42.683333000000005	66.31	99	92	3.6
148	it	taggia	43.866667	7.85	62.6	100	0	9.17
149	cn	aksu	41.123056	80.264444	41.87	54	56	4.72
150	us	apopka	28.6802778	-81.50972220000001	75.2	88	88	4.94
151	ua	krasnyy oktyabr	48.25	38.2	33.73	96	64	12.21
152	be	hooglede	50.983333	3.083333	57.2	93	75	9.17
153	tz	kongwa	-6.2	36.4166667	61.99	94	36	3.49
154	ru	buturlinovka	50.823889	40.609167	28.19	84	88	6.17
155	ca	exeter	43.35	-81.483333	59	87	90	24.16
156	ba	janja	44.6652778	19.2477778	46.4	100	90	8.05
157	au	milingimbi	-12.10188	134.919006	86.24	92	12	7.63
158	ru	shirokaya rechka	56.6694	60.4726	24.8	92	40	6.71
159	mx	poanas	25.766667	-103.616667	78.8	34	5	2.71
160	id	ambulu	-8.3504	113.6069	81.61	91	0	5.39
161	vu	norsup	-16.0666667	167.3833333	77.87	100	88	3.71
162	ro	cristinesti	48.1	26.383333	42.8	100	75	8.95
163	kz	qostanay	53.166667000000004	63.583332999999996	24.8	85	90	24.61
164	cn	ningbo	29.878186	121.549453	64.4	55	20	11.18
165	gr	livadi	40.125	22.1516667	39.98	96	32	2.15
166	de	forst	51.733333	14.633332999999999	40.88	92	8	3.38
167	us	north creek	47.8197222	-122.175	59	66	1	6.4
168	ph	lagonglong	8.807222	124.790278	82.06	90	76	6.06
169	us	butte	46.0038889	-112.5338889	33.8	74	1	3.36
170	mx	manzanillo	19.05	-104.333333	84.2	83	5	1.36
171	us	dracut	42.6702778	-71.3025	64.4	93	90	3.36
172	my	sungai siput utara	4.8151	101.0786	87.8	66	75	1.12
173	ph	pilar	11.487	122.9963	78.14	100	92	5.06
174	us	daphne	30.6033333	-87.90361109999999	64.4	100	1	6.51
175	fr	aulnoye-aymeries	50.201412	3.838439	57.2	93	75	10.29
176	ca	vulcan	50.4	-113.25	36.65	46	0	3.6
177	it	vietri sul mare	40.666667	14.733332999999998	59	58	0	7.96
178	pk	paharpur	32.103844	70.97235	62.3	69	0	2.59
179	br	maraa	-1.833333	-65.366667	73.06	99	92	4.05
180	us	blackfoot	43.1905556	-112.34416670000002	48.2	70	1	10.29
181	ro	manzalesti	45.5	26.65	46.69	97	92	4.5
182	ua	shevchenkove	49.695853	37.173484	33.8	80	0	11.18
183	gt	san andres itzapa	14.62	-90.844167	68	88	75	4.7
184	ro	moldoveni	46.833333	26.766666999999998	50	100	90	9.17
185	ph	san roque	10.6043	123.7441	87.8	66	75	12.75
186	ni	san miguelito	11.4	-84.9	80.89	100	88	7.96
187	it	ischia	40.733333	13.95	59	58	0	20.49
188	in	anaimalai	10.583333	76.93333299999999	77	73	0	3.6
189	ro	calarasi	47.616667	27.266666999999998	46.4	87	75	10.29
190	us	gardendale	33.66	-86.81277779999999	53.6	100	1	2.48
191	gt	san miguel acatan	15.7	-91.616667	61.67	91	88	1.7
192	dk	farum	55.809872999999996	12.362286	48.2	81	75	12.75
193	ro	olari	46.383333	21.55	48.2	93	92	16.11
194	ro	nuseni	47.1	24.2	51.8	87	75	8.05
195	fr	cavaillon	43.836033	5.0404919999999995	57.2	62	0	23.04
196	sd	bentiu	9.233333300000002	29.8333333	71.21	97	76	7.52
197	ua	zhovtneve	49.987839	29.531291999999997	38.09	95	92	13.67
198	ua	berehove	44.901477	33.621587	53.03	100	48	15.23
199	it	chieri	45.016667	7.816667	46.4	45	0	4.7
200	hn	reitoca	13.825833300000001	-87.4652778	75.2	83	40	9.17
201	ru	tarbagatay	51.1747	109.0931	35.98	80	92	3.15
202	us	valparaiso	41.4730556	-87.06111109999999	51.8	87	90	9.17
203	ro	sinteu	47.15	22.483333	48.2	81	88	10.29
204	it	montalto uffugo	39.4	16.15	57.2	54	20	12.75
205	cn	lianran	24.922707	102.484959	48.2	100	90	8.95
206	de	rehburg-loccum	52.466667	9.2	50	93	75	2.24
207	gr	kristallopiyi	40.6380556	21.085277800000004	40.93	100	92	1.92
208	br	mascote	-15.55	-39.283333	73.64	94	68	4.61
209	br	pocos de caldas	-21.8	-46.566666999999995	64.73	94	48	7.18
210	ci	jacqueville	5.205148	-4.414604	80.6	88	75	6.93
211	ru	taldom	56.733332999999995	37.533333	27.88	92	68	8.63
212	es	coslada	40.423776000000004	-3.561287	46.4	81	0	2.24
213	ba	voljevac	43.8786111	17.6591667	51.8	93	75	9.17
214	us	troy	42.728333299999996	-73.6922222	69.8	64	90	10.29
215	in	hojai	26.0	92.866667	72.92	95	32	3.15
216	in	dusi	12.766667	79.68333299999999	86	84	20	2.24
217	us	brownsburg	39.8433333	-86.3977778	48.2	93	40	4.7
218	ro	lunca de sus	46.533333	25.966667	40.93	100	92	2.59
219	in	narnaund	29.216666999999998	76.15	73.19	51	0	2.71
220	co	santa catalina	10.603607	-75.288235	80.6	94	40	2.71
221	in	khujner	23.783333	76.6	77.24	39	0	2.93
222	cn	xiaolan	22.673810999999997	113.231874	77	61	0	10.29
223	ph	dumabato	16.316667000000002	121.7	75.62	95	20	4.05
224	cn	dawukou	39.041944	106.39583300000001	47.99	86	92	4.72
225	uy	salto	-31.383333299999997	-57.966666700000005	57.04	83	48	8.41
226	cr	nicoya	10.148275	-85.452013	78.8	94	75	3.36
227	us	willmar	45.1219444	-95.0430556	50	61	75	11.41
228	mx	jaumave	23.416667	-99.383333	77	78	75	5.82
229	ro	balesti	45.433333000000005	27.233333000000002	51.73	100	92	7.18
230	ro	cupseni	47.55	23.933332999999998	47.36	97	92	2.37
231	ph	del carmen	15.0	120.53333300000001	84.2	62	75	11.41
232	ph	putlod	15.3706	120.8675	84.17	94	0	4.5
233	cn	liancheng	21.646734	110.28171999999999	77.38	77	12	5.95
234	br	conselheiro lafaiete	-20.666667	-43.8	63.34	98	92	7.4
235	cz	mikulcice	48.817654	17.05	48.2	76	0	12.75
236	us	sebastian	27.816111100000004	-80.4708333	80.6	83	1	4.7
237	us	bolingbrook	41.6986111	-88.06833329999999	53.6	87	90	11.41
238	cz	kunovice	49.040529	17.466141	48.2	76	64	13.87
239	ro	tarcea	47.45	22.183332999999998	48.2	81	88	10.29
240	ua	chynadiyovo	48.481788	22.821701	48.2	70	75	8.95
241	id	rantepao	-2.9701	119.8978	76.79	82	64	0.36
242	be	roeselare	50.95	3.1333330000000004	57.2	93	75	10.29
243	us	wolfeboro	43.5838889	-71.20777779999999	59	93	90	4.94
244	ua	lyubashivka	47.837157	30.259763	41.6	90	88	13.22
245	cn	lingyuan	41.24	119.40111100000001	53.57	58	0	4.05
246	jp	iwakuni	34.15	132.183333	66.2	45	75	10.29
247	ua	nyzhnya krynka	48.113496999999995	38.160636	33.73	96	64	12.21
